OBJECTID,Name,Population,White,Blk_AfAm,AmInd_AkNa,Asian,NatHaw_Pac,Other_Race,TwoOrMore,Hisp_Lat,Housing,Occupied,Vacant,Shape__Area,Shape__Length
187,Montebello,48,16,22,0,0,0,5,5,7,10,5,5,13036606.0494385,15567.7684055217
188,Morgan State University,1589,579,137,3,734,0,31,105,74,3,2,1,7343691.04919434,20839.0976534682
189,Morrell Park,3970,2183,914,27,145,2,394,305,598,1791,1582,209,23249632.2349243,18924.3845365372
190,Mosher,1103,12,1044,3,0,0,13,31,20,670,424,246,3213050.28649902,7162.70343267283
191,Mount Clare,1774,465,894,6,31,2,250,126,363,906,611,295,3188342.75146484,7406.38857698644
192,Mount Vernon,5497,2838,1557,20,572,2,98,410,369,4562,3993,569,6320202.81469727,11607.8415000683
193,Mount Washington,4090,2799,737,9,132,0,87,326,175,1913,1763,150,34606514.9168701,26938.9854603361
194,Mount Winans,725,23,588,3,3,1,49,58,63,314,269,45,2369814.54376221,6601.91754584012
195,New Northwood,4517,134,4125,4,50,0,60,144,69,2122,1941,181,8942176.21697998,15954.0461052792
196,North Harford Road,5069,2364,2107,8,100,2,177,311,335,2308,2134,174,17848687.8444214,19410.2130303581
197,North Roland Park/Poplar Hill,1367,984,229,0,53,0,29,72,60,656,603,53,17101829.9851074,19399.2323101244
198,Northwest Community Action,1378,18,1310,3,0,0,12,35,16,701,567,134,3261244.54998779,8610.62359977921
199,Oakenshawe,971,619,106,3,125,0,28,90,68,511,455,56,1740838.33435059,5913.72674764063
200,Oldtown,2370,59,2191,5,5,0,34,76,58,1214,1137,77,4680034.54614258,9583.10299932359
201,Oliver,3771,54,3536,16,10,0,49,106,78,1998,1489,509,7335167.99597168,10859.5710607
202,Orangeville,200,86,35,7,6,0,29,37,64,95,80,15,10316694.7015991,15683.3287174756
203,Original Northwood,1155,402,683,0,9,1,12,48,32,534,473,61,4805869.50360107,10606.2554840016
204,Overlea,797,363,312,6,13,2,25,76,39,307,270,37,8481100.22753906,13972.6599782219
205,Panway/Braddish Avenue,1280,12,1212,6,2,0,2,46,15,627,536,91,2427301.38146973,7522.97725473603
